material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3
mp-5394,LaSF,"F,La,S",3,1.488099999999999,0.0,-3.452929627604165,5.5278248430274495,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9998033387847969,1.0,0.9997372028701736,0.6538461538461545,0.8794392000462558,36,0.8421052631578947,0.9081095901195073
mp-1102246,LaSeCl,"Cl,La,Se",3,1.336,0.0,-2.517520758020834,5.518514480417228,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.9633335558520045,1.0,0.9509994220940338,1.0,0.6378231239665747,42,0.7631578947368421,0.8916302697905076
mp-556135,GdSI,"Gd,I,S",3,1.487199999999999,0.0,-2.115598449166665,4.780726541939773,6,1.0,0.0,c,16,8,0,24,,True,0.0,1.0,c,0.9997724703332461,1.0,0.9996959506415178,1.0,0.5340066065996965,36,0.8421052631578947,0.8909358352961083
mp-22887,EuCl2,"Cl,Eu",2,1.214399999999999,0.0,-2.6734610466666693,4.871434851663826,12,1.0,0.0,b,48,0,0,72,,True,0.0,1.0,b,0.8928934697630899,1.0,0.8568641353559534,1.0,0.6781024947000623,32,0.8947368421052632,0.8893102169895271
mp-10932,ErSF,"Er,F,S",3,1.324399999999999,0.0,-3.323758545381942,7.739259604601134,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.958077229526023,1.0,0.9439749305955338,0.6538461538461545,0.8460743143322669,36,0.8421052631578947,0.8874960449080496
mp-10086,YSF,"F,S,Y",3,1.3132,0.0,-3.332084884270834,4.783357557393636,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9526914238781504,1.0,0.9367774044832275,0.6538461538461545,0.8482250073563129,36,0.8421052631578947,0.8861268019847822
mp-878,Ho2S3,"Ho,S",2,1.4612999999999992,0.0,-2.376410549020833,6.046408249359246,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9979220369606984,1.0,0.9972230536621669,1.0,0.6013743622517633,50,0.6578947368421053,0.8853701095501049
mp-2234,Er2S3,"Er,S",2,1.4691,0.0,-2.3661894406875,6.204950661786847,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9986747539151978,1.0,0.9982289755779206,1.0,0.59873425035098,50,0.6578947368421053,0.8850935676488867
mp-10931,HoSF,"F,Ho,S",3,1.299599999999999,0.0,-3.333161717604165,7.5402904554460175,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9457490688802631,1.0,0.9274997244767219,0.6538461538461545,0.848503153366097,36,0.8421052631578947,0.8838630111851126
mp-12444,SrCuSF,"Cu,F,S,Sr",4,1.5126,0.0,-2.279969743203125,5.004838895047967,8,1.0,0.0,c,24,24,0,40,,True,0.0,1.0,c,0.9997795243083383,1.0,0.9997053774892802,1.0,0.5764637057107188,48,0.6842105263157895,0.8836401381460428
mp-29084,Ba2GdCl7,"Ba,Cl,Gd",3,1.561499999999999,0.0,-2.872607037499999,3.932393551520615,40,1.0,0.0,a,0,16,0,200,,True,0.0,1.0,a,0.9947606485325494,1.0,0.9929982120599207,1.0,0.7295418966950236,70,0.39473684210526316,0.8836316165645112
mp-541289,Y2S3,"S,Y",2,1.5992000000000002,0.0,-2.382647370687501,3.8050672458027313,30,1.0,0.0,b,96,0,0,156,,True,0.0,1.0,b,0.9864254214105808,1.0,0.9818591144420795,1.0,0.6029853330553439,50,0.6578947368421053,0.8818513189057992
mp-684,BaS2,"Ba,S",2,1.598199999999999,0.0,-1.7528733849999991,3.693656366723054,6,1.0,0.0,a,0,16,0,36,,True,0.0,1.0,a,0.9866959034571707,1.0,0.9822205834070821,1.0,0.4403147360717433,26,0.9736842105263158,0.8809865141187507
mp-1086652,BaAgSF,"Ag,Ba,F,S",4,1.4324,0.0,-2.250060911041666,5.637314434554091,8,1.0,0.0,c,24,24,0,40,,True,0.0,1.0,c,0.99367321006597,1.0,0.9915449723274725,1.0,0.5687382554803864,48,0.6842105263157895,0.8800549468095243
mp-9195,BaCuSeF,"Ba,Cu,F,Se",4,1.4265,0.0,-2.238203543085938,5.904545697556149,8,1.0,0.0,c,24,24,0,40,,True,0.0,1.0,c,0.9925249531738135,1.0,0.9900104555800671,1.0,0.5656754977802461,48,0.6842105263157895,0.879058766082645
mp-16742,BaAgTeF,"Ag,Ba,F,Te",4,1.510999999999999,0.0,-2.183376328333333,6.298244067181046,8,1.0,0.0,c,24,24,0,40,,True,0.0,1.0,c,0.9998319585649883,1.0,0.9997754500013784,1.0,0.5515136302572203,48,0.6842105263157895,0.8786676411833676
mp-10930,TbSF,"F,S,Tb",3,1.2587,0.0,-3.3604610242708333,7.129524793647941,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9223144939214921,1.0,0.8961820393940497,0.6538461538461545,0.85555456325858,36,0.8421052631578947,0.8774438718929412
mp-18642,Ca(YS2)2,"Ca,S,Y",3,1.5361,0.0,-2.407047725892858,3.454275226819853,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9981916231983843,1.0,0.9975833254788873,1.0,0.6092879438936343,58,0.5526315789473684,0.8765165780431855
mp-1194276,Ca(HoS2)2,"Ca,Ho,S",3,1.552699999999999,0.0,-2.4064787169642843,5.049634867523821,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9961500827851315,1.0,0.9948550353409913,1.0,0.6091409689086338,58,0.5526315789473684,0.8758051105117114
mp-3992,PrSF,"F,Pr,S",3,1.2541,0.0,-3.3434663914930542,5.777548769814879,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9194480997192236,1.0,0.892351424539401,0.6538461538461545,0.8511648502467597,36,0.8421052631578947,0.8756082755769148
mp-1194132,Ca(TmS2)2,"Ca,S,Tm",3,1.567899999999999,0.0,-2.409249856607143,5.243245762081028,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9936171105163103,1.0,0.9914700015617294,1.0,0.6098567541748934,58,0.5526315789473684,0.8751020091201478
mp-1194059,Ca(ErS2)2,"Ca,Er,S",3,1.5692,0.0,-2.40433364077381,5.155460711285895,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9933711793211092,1.0,0.991141342060251,1.0,0.608586895808744,58,0.5526315789473684,0.8747658725715484
mp-505362,Ca(LuS2)2,"Ca,Lu,S",3,1.5804,0.0,-2.40069353529762,5.468823146604424,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9910621819010502,1.0,0.9880556255842606,1.0,0.6076466567001872,58,0.5526315789473684,0.8738063956308394
mp-5760,NdSF,"F,Nd,S",3,1.2363,0.0,-3.354096816770832,6.023136665432264,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.9079371462213457,1.0,0.8769683242577849,0.6538461538461545,0.8539106886990069,36,0.8421052631578947,0.8723116681969603
mp-1095296,Dy4Te3S4,"Dy,S,Te",3,1.396599999999999,0.0,-1.973793764659092,6.327594458003352,11,1.0,0.0,c,8,8,0,58,,True,0.0,1.0,c,0.9852603195804109,1.0,0.9803020863214205,1.0,0.4973784618872149,41,0.7763157894736842,0.8721827929051665
mp-1208643,SrHfS3,"Hf,S,Sr",3,1.4955999999999992,0.0,-2.074540924687499,5.183263719549967,20,1.0,0.0,c,8,8,0,112,,True,0.0,1.0,c,0.999973111472614,1.0,0.9999640850552379,1.0,0.5234014495600583,50,0.6578947368421053,0.8704607848600318
mp-1102093,EuI2,"Eu,I",2,1.3259,0.0,-1.8748465075,5.292732391321431,12,1.0,0.0,b,32,0,0,56,,True,0.0,1.0,b,0.9587754830301192,1.0,0.9449080682089799,1.0,0.4718203890582966,32,0.8947368421052632,0.8700647790744307
mp-1193100,Sr(YSe2)2,"Se,Sr,Y",3,1.458699999999999,0.0,-2.267338949107142,4.935958137538388,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9976337900099184,1.0,0.9968378438921389,1.0,0.5732011720674348,58,0.5526315789473684,0.8691128532812585
mp-3931,SmSF,"F,S,Sm",3,1.229699999999999,0.0,-3.317725045833334,6.468957202528947,6,0.8333333333333334,0.1666666666666666,c,24,24,4,36,,True,0.0769230769230769,0.9230769230769232,c,0.90350365371608,1.0,0.8710434580146135,0.6538461538461545,0.8445158616241879,36,0.8421052631578947,0.8689514862212036
mp-1193099,Ba(YSe2)2,"Ba,Se,Y",3,1.4872,0.0,-2.240760022410714,5.118428248655952,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9997724703332461,1.0,0.9996959506415178,1.0,0.5663358362943616,58,0.5526315789473684,0.8684543128139885
mp-32798,La2Se3,"La,Se",2,1.58,0.0,-2.342295032187499,6.045119341034584,40,1.0,0.0,a,0,0,24,256,,True,0.0,1.0,a,0.9911505004882849,1.0,0.9881736534856341,1.0,0.5925623255277881,60,0.5263157894736843,0.8681874574243346
mp-1193757,Ba(SmSe2)2,"Ba,Se,Sm",3,1.4344,0.0,-2.236313439196427,5.869572565424152,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9940409371790151,1.0,0.9920363984336839,1.0,0.5651872840161731,58,0.5526315789473684,0.8663097143063924
mp-866306,Ba(NdS2)2,"Ba,Nd,S",3,1.6426,0.0,-2.375684078571425,4.726279564678873,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9721523751773581,1.0,0.9627847865360305,1.0,0.601186714961812,58,0.5526315789473684,0.8661966975211068
mp-1223956,Ho2TeS2,"Ho,S,Te",3,1.7469,0.0,-2.132453860333329,5.858626524987115,5,1.0,0.0,b,8,0,24,24,,True,0.0,1.0,b,0.9188190038905474,1.0,0.8915107084144462,1.0,0.538360358674565,35,0.8552631578947368,0.8660760646279982
mp-1194337,Sr(LuSe2)2,"Lu,Se,Sr",3,1.431,0.0,-2.235004940654761,6.732635181737837,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9934093144689159,1.0,0.9911923054146832,1.0,0.5648492988917277,58,0.5526315789473684,0.8660310940267532
mp-1193917,Sr(TbSe2)2,"Se,Sr,Tb",3,1.4432,0.0,-2.215435640744049,6.0949104386576725,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9955291353156903,1.0,0.9940252085856499,1.0,0.5597945494556241,58,0.5526315789473684,0.8657283699322741
mp-1193520,Sr(ErSe2)2,"Er,Se,Sr",3,1.4083,0.0,-2.250829536488091,6.421780402136165,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9883889210655313,1.0,0.9844831118459951,1.0,0.5689367914044929,58,0.5526315789473684,0.8651712941371341
mp-32688,Nd2Se3,"Nd,Se",2,1.4781,0.0,-2.191013233687499,6.517396416166739,40,1.0,0.0,a,0,28,28,256,,True,0.0,1.0,a,0.9993340968120036,1.0,0.9991101135221756,1.0,0.5534862426249942,60,0.5263157894736843,0.8631063558529113
mp-32689,Pr2Se3,"Pr,Se",2,1.475099999999999,0.0,-2.190777713854166,6.297756108096001,40,1.0,0.0,a,0,32,32,256,,True,0.0,1.0,a,0.9991392456617297,1.0,0.9988497167804805,1.0,0.55342540786084,60,0.5263157894736843,0.8630290897146566
mp-1193797,Ba(DySe2)2,"Ba,Dy,Se",3,1.3765,0.0,-2.239951934672619,6.33934568922243,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9790391176037379,1.0,0.9719881465685586,1.0,0.5661271072617904,58,0.5526315789473684,0.8614856159892345
mp-1193169,Ba(TmSe2)2,"Ba,Se,Tm",3,1.380399999999999,0.0,-2.229560272410717,6.621662694958519,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9803291573255122,1.0,0.9737121401900236,1.0,0.5634429412876272,58,0.5526315789473684,0.8613797811997682
mp-17678,Sr(ScS2)2,"S,Sc,Sr",3,1.356999999999999,0.0,-2.282851445535714,3.329279432980175,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9719981392368712,1.0,0.9625786674738714,1.0,0.5772080493156068,58,0.5526315789473684,0.8613494346263261
mp-1225541,Er2TeS2,"Er,S,Te",3,1.77,0.0,-2.137644830458333,5.995026044718351,5,1.0,0.0,b,8,0,24,24,,True,0.0,1.0,b,0.903707077873196,1.0,0.8713153116198944,1.0,0.5397011860639921,35,0.8552631578947368,0.8612953809072458
