material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
mp-557032,Ba5Hf4S13,"Ba,Hf,S",3,0.5503,0.025942471704534,-2.135647569886362,5.267205817324192,22
mp-1105201,Ba5In4Te4S7,"Ba,In,S,Te",4,1.132899999999999,0.002553337218748,-1.536477321291666,4.718509679146709,20
mp-1105231,Ba5P4,"Ba,P",2,0.9422,0.0,-1.010274563730141,4.48490456719081,18
mp-17566,Ba5P4,"Ba,P",2,0.9365,3.472888887223746e-05,-1.010239834841253,4.484429995578092,36
mp-554688,Ba6Hf5S16,"Ba,Hf,S",3,0.5949,0.029026762592592,-2.128523974814813,5.299566454236695,27
mp-569168,Ba6NaCu3Te14,"Ba,Cu,Na,Te",4,0.6019999999999991,0.0,-1.237638945613026,5.774009837235861,48
mp-570423,Ba6Pr3I19,"Ba,I,Pr",3,1.0187,0.0,-1.906666941607144,5.153187515241578,56
mp-1202124,Ba6Zr(Zn3S7)2,"Ba,S,Zn,Zr",4,1.476899999999999,0.007840124930555,-1.721378306111109,4.282968990788906,54
mp-583221,Ba7B4Se13,"B,Ba,Se",3,2.1858,0.0,-1.5417462075889752,4.706115102668259,48
mp-1198460,Ba7Ga5AgSe15,"Ag,Ba,Ga,Se",4,1.904,0.007478007996032,-1.5905352678329612,5.022145868247949,56
mp-1192196,Ba7In2(Se3F4)2,"Ba,F,In,Se",4,1.198799999999999,0.025007988152175,-2.940161132060688,5.184024530198335,23
mp-34034,Ba8P5Br,"Ba,Br,P",3,1.308799999999999,0.0,-1.200256503443875,4.566781995836918,14
mp-675219,Ba9(LaS6)2,"Ba,La,S",3,2.379,0.034004247391303,-2.331263360434782,4.100060593733988,23
mp-673874,Ba9(NdS6)2,"Ba,Nd,S",3,2.301999999999999,0.044889786739127,-2.29871161021739,4.184529579024226,23
mp-7394,BaAg2GeS4,"Ag,Ba,Ge,S",4,0.5960999999999991,0.0,-1.017806503541665,4.70604412291684,8
mp-29682,BaAg8S5,"Ag,Ba,S",3,0.8058000000000001,0.01183440785714,-0.521217914345237,6.559844559479574,56
mp-1086652,BaAgSF,"Ag,Ba,F,S",4,1.4324,0.0,-2.250060911041666,5.637314434554091,8
mp-1190401,BaAgSbS3,"Ag,Ba,S,Sb",4,1.422899999999999,0.0,-1.118060334027777,4.632952646874406,24
mp-1079647,BaAgSeF,"Ag,Ba,F,Se",4,1.269299999999999,0.0,-2.263063682252604,6.142612558392519,8
mp-16742,BaAgTeF,"Ag,Ba,F,Te",4,1.510999999999999,0.0,-2.183376328333333,6.298244067181046,8
mp-1191234,BaAl4Se7,"Al,Ba,Se",3,2.3933,0.018614572500001,-1.370573937617186,4.129855151017178,24
mp-866301,BaBSbS4,"B,Ba,S,Sb",4,2.3423,0.0,-1.210869094523809,3.609817020994163,28
mp-861618,BaBiBS4,"B,Ba,Bi,S",4,1.931099999999999,0.005593375436506,-1.220141967738095,4.447406535935918,14
mp-27365,BaBiSe3,"Ba,Bi,Se",3,0.9943999999999992,0.0,-1.3171996901562482,6.177229599398782,40
mp-1095151,BaCdAsF,"As,Ba,Cd,F",4,0.9586,0.0,-1.948395214375,5.882470652399688,8
mp-1079603,BaCdPF,"Ba,Cd,F,P",4,1.1489,0.008730359999998,-1.905419379910713,5.36749250270675,8
mp-8885,BaCdS2,"Ba,Cd,S",3,1.7377999999999991,0.020061930000003,-1.583339704374998,4.634532205928844,16
