query_label,material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
Mo-Se,mp-685942,Ti2(Mo3Se4)5,"Mo,Se,Ti",3,0.0,0.029904348108111004,-0.8540527476632881,6.561616846534086,74
Mo-Se,mp-581739,Cs5Mo21Se23,"Cs,Mo,Se",3,0.0,0.000101158571426,-0.9045509433098391,5.838672330395419,98
Mo-Se,mp-580799,Rb4(Mo7Se8)3,"Mo,Rb,Se",3,0.0,0.014645590000000002,-0.87406376012755,5.819860075371295,98
Mo-Se,mp-1224595,K4Mo6Se25O,"K,Mo,O,Se",4,0.7692000000000001,0.37042027475694805,-0.5677880250720491,3.9179844027566633,36
Mo-Se,mp-568072,Rb5Mo27Se31,"Mo,Rb,Se",3,0.0,0.014274024126980001,-0.873360422145337,5.856950752232087,126
Mo-Se,mp-530701,Ni5(Mo3Se4)8,"Mo,Ni,Se",3,0.0,0.07252252355191001,-0.5233238080054691,6.6867510190758495,61
Mo-Se,mp-685296,Sm5(Mo3Se4)12,"Mo,Se,Sm",3,0.0,0.04740824116575101,-0.7732014348174011,7.040228170779924,178
Mo-Se,mp-685447,Pr5(Mo3Se4)12,"Mo,Pr,Se",3,0.0,0.041110452436797,-0.7784781387734101,6.928617729608728,178
Mo-Te,mp-1120746,Te2Mo,"Mo,Te",2,0.0,0.032994494999996,-0.27437727166667003,1.455940584414068,6
Mo-Te,mp-7459,Te2Mo,"Mo,Te",2,0.0,0.013889071666667,-0.293482694999999,7.079496030463364,12
Mo-Te,mp-1023938,Te2Mo,"Mo,Te",2,1.049699999999999,0.011437529999998001,-0.295934236666667,4.2813849646302,6
Mo-Te,mp-1030319,Te2Mo,"Mo,Te",2,1.1635,0.0059036124999990005,-0.301468154166665,5.445842533414322,12
Mo-Te,mp-1023935,Te2Mo,"Mo,Te",2,1.07,0.021611029999995,-0.285760736666669,3.031148774972198,3
Mo-Te,mp-1025576,Te2Mo,"Mo,Te",2,0.623,0.007740386666664,-0.29963138,5.042525862195315,9
Mo-Te,mp-1120748,TeMo,"Mo,Te",2,0.0,0.458641647500002,0.193969998750002,8.560240273299856,4
Mo-Te,mp-602,Te2Mo,"Mo,Te",2,0.8632999999999991,0.0,-0.30737176666666705,7.23066892428707,6
Mo-Te,mp-1181717,CoTeMo,"Co,Mo,Te",3,0.0,0.7443409724999981,0.5678932066666671,8.570262598141674,6
Mo-Te,mp-1247042,TeMoN,"Mo,N,Te",3,0.0,0.29070222108333504,-0.17590718222222101,6.853654744530028,6
Mo-Te,mp-1201330,Te6MoI3,"I,Mo,Te",3,1.020099999999999,0.048742558875,-0.28406234562500005,5.146436783311117,80
Mo-Te,mp-19453,Te2MoO7,"Mo,O,Te",3,2.8614,0.0,-1.667758174333332,5.195713048985342,40
Mo-Te,mp-35138,Tl4Te3Mo,"Mo,Te,Tl",3,0.0,0.37155487465909204,-0.062771848541669,8.629874175719456,16
Mo-Te,mp-541756,Te2MoCl12,"Cl,Mo,Te",3,0.0,0.01264462516667,-0.7505906092407411,2.700221066566198,45
Mo-Te,mp-1023941,Te4MoW,"Mo,Te,W",3,0.938199999999999,0.027624175833334003,-0.18433744166667002,4.909963766736294,6
Mo-Te,mp-1025678,Te6MoW2,"Mo,Te,W",3,0.6236,0.017315118888888002,-0.162843115555549,5.7260597482795585,9
Mo-Te,mp-1028576,Te8MoW3,"Mo,Te,W",3,1.117899999999999,0.018986984166673,-0.145269558749996,6.307789890467525,12
Mo-Te,mp-1029256,Te4MoW,"Mo,Te,W",3,0.568299999999999,0.012656287499996002,-0.19930533000000603,5.961810331504701,12
Mo-Te,mp-1030108,Te8MoW3,"Mo,Te,W",3,1.0802,0.030126742916671,-0.134129799999996,6.432485329816541,12
Mo-Te,mp-1030335,Te4MoW,"Mo,Te,W",3,1.0072,0.012670823333326002,-0.19929079416667603,5.9643248343787025,12
Mo-Te,mp-1028594,Te4MoW,"Mo,Te,W",3,1.0915,0.012651947500000002,-0.19930967000000502,5.968206551715445,12
Mo-Te,mp-1030106,Te4MoW,"Mo,Te,W",3,0.5948,0.012694284999998001,-0.199267332500004,5.962845098132535,12
Mo-Te,mp-1026351,Te6MoW2,"Mo,Te,W",3,0.5968999999999991,0.017164108888888002,-0.16299412555554801,5.711078137057866,9
Mo-Te,mp-29190,Te4MoBr,"Br,Mo,Te",3,0.8579000000000001,0.10717890645833401,-0.34709146027777604,5.891452098410557,12
Mo-Te,mp-622262,Te6MoBr3,"Br,Mo,Te",3,1.182499999999999,0.042799124625001,-0.43481340924999906,5.064017097547371,40
Mo-Te,mp-541868,Te3MoCl16,"Cl,Mo,Te",3,0.05279999999999901,0.0014320496458280001,-0.73115786235417,2.572275175069173,40
Mo-Te,mp-2767093,Te3MoCl16,"Cl,Mo,Te",3,0.4888,0.0,-0.732589912,2.824177389447363,40
Mo-Te,mp-1077563,CoTeMo,"Co,Mo,Te",3,0.0,0.73392570888889,0.5574779430555591,8.702772340243818,6
Mo-Te,mp-1105362,MnTeMoO6,"Mn,Mo,O,Te",4,2.5418000000000003,0.025443103333319003,-1.862078398288633,4.76078819572542,18
Mo-Te,mp-555560,CdTeMoO6,"Cd,Mo,O,Te",4,3.189399999999999,0.0,-1.727071637962963,5.339739431143151,18
Mo-Te,mp-1194895,Th2Te3MoO13,"Mo,O,Te,Th",4,3.4705,0.011151030690800002,-2.507404374868421,6.49352388740315,76
Mo-Te,mp-1203622,Li2TeMoO6,"Li,Mo,O,Te",4,3.0987,0.024422492999996003,-2.015242366333333,4.319569530413783,40
Mo-Te,mp-554135,Te2MoCl4O,"Cl,Mo,O,Te",4,1.211,0.11039508812500001,-1.061626007916666,3.506216393631301,32
Mo-Te,mp-559100,In2Te2MoO10,"In,Mo,O,Te",4,2.6792,0.018625957638916002,-1.7985376344444441,5.638957858139935,60
Mo-Te,mp-560414,Te4Mo(OF4)5,"F,Mo,O,Te",4,2.9955,0.005178171736111001,-2.226682754222222,3.147043009979809,120
Mo-Te,mp-616455,TeMoCl7O,"Cl,Mo,O,Te",4,2.5316,0.034193638721415,-1.260353141916666,2.71343732254947,40
Mo-Te,mp-1195554,ThTe2MoO9,"Mo,O,Te,Th",4,3.346499999999999,0.010090512932695,-2.308725281410256,6.019897174357041,52
Mo-Te,mp-1197464,Ag2Te4MoO12,"Ag,Mo,O,Te",4,2.1281,0.0062161410964890005,-1.409304284736841,5.681480509948823,38
Mo-Te,mp-541918,Na2Te4MoO12,"Mo,Na,O,Te",4,2.4592,0.0,-1.74006818260133,4.856828968075345,38
Mo-Te,mp-1210722,MgTeMoO6,"Mg,Mo,O,Te",4,3.1735,0.011399819166674001,-2.091089785185185,4.511231682443122,18
