material_id,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason
mp-3807,,,,4,4,4,64,too_few_inplane_bonds
mp-7909,,,,2,2,0,24,too_few_inplane_bonds
mp-607399,,,,0,0,0,112,too_few_inplane_bonds
mp-23434,,,,0,0,0,56,too_few_inplane_bonds
mp-1104053,,,,4,4,4,64,too_few_inplane_bonds
mp-7906,,,,4,4,0,24,too_few_inplane_bonds
mp-3038,,,,4,4,0,24,too_few_inplane_bonds
mp-7910,,,,2,2,0,24,too_few_inplane_bonds
mp-605912,,,,0,0,0,56,too_few_inplane_bonds
mp-675374,1.0,0.0,c,12,12,0,48,
mp-27452,,,,0,0,0,48,too_few_inplane_bonds
mp-1079029,1.0,0.0,c,16,16,0,48,
mp-684638,,,,0,0,0,176,too_few_inplane_bonds
mp-11674,,,,0,8,0,32,too_few_inplane_bonds
mp-685120,1.0,0.0,a,0,0,48,176,
mp-540629,,,,0,0,0,80,too_few_inplane_bonds
mp-1228524,,,,0,0,0,32,too_few_inplane_bonds
mp-29502,,,,0,0,0,128,too_few_inplane_bonds
mp-9254,1.0,0.0,b,12,0,0,20,
mp-568443,,,,0,0,0,56,too_few_inplane_bonds
mp-1228479,,,,2,0,0,24,too_few_inplane_bonds
mp-4842,,,,4,4,4,64,too_few_inplane_bonds
mp-1104860,,,,4,4,4,64,too_few_inplane_bonds
mp-1228454,1.0,0.0,b,12,0,0,24,
mp-7907,,,,0,0,0,24,too_few_inplane_bonds
mp-7908,,,,0,0,0,24,too_few_inplane_bonds
mp-645282,,,,0,0,0,96,too_few_inplane_bonds
mp-646102,,,,0,0,0,48,too_few_inplane_bonds
mp-1228691,1.0,0.0,a,0,20,0,40,
mp-1228721,,,,4,4,0,48,too_few_inplane_bonds
mp-1228699,,,,0,0,0,64,too_few_inplane_bonds
mp-1228170,,,,4,4,4,64,too_few_inplane_bonds
mp-35267,,,,0,0,0,64,too_few_inplane_bonds
mp-37405,,,,2,2,2,64,too_few_inplane_bonds
mp-14506,,,,0,0,0,110,too_few_inplane_bonds
mp-1229020,,,,0,0,0,128,too_few_inplane_bonds
mp-1228964,,,,4,4,0,38,too_few_inplane_bonds
mp-5782,,,,4,4,0,32,too_few_inplane_bonds
mp-14091,,,,4,4,0,32,too_few_inplane_bonds
mp-1228963,0.8333333333333334,0.1666666666666666,a,2,2,12,24,
mp-14092,,,,0,0,0,32,too_few_inplane_bonds
mp-2172,,,,0,0,0,8,too_few_total_bonds
mp-8881,,,,0,0,0,16,too_few_total_bonds
mp-567734,,,,0,0,0,104,too_few_inplane_bonds
mp-558360,,,,0,0,0,56,too_few_inplane_bonds
mp-628665,,,,0,0,0,52,too_few_inplane_bonds
mp-1228925,,,,0,0,0,16,too_few_total_bonds
mp-1228984,,,,4,4,4,38,too_few_inplane_bonds
mp-1102536,,,,0,0,0,32,too_few_inplane_bonds
mp-1228980,,,,0,0,0,24,too_few_inplane_bonds
mp-4979,,,,0,0,0,32,too_few_inplane_bonds
mp-8016,,,,0,0,0,32,too_few_inplane_bonds
mp-1229065,,,,0,0,0,32,too_few_inplane_bonds
mp-1228961,1.0,0.0,a,0,0,16,64,
mp-1229027,1.0,0.0,a,0,0,12,24,
mp-8017,,,,0,0,0,32,too_few_inplane_bonds
mp-1228907,,,,0,0,0,32,too_few_inplane_bonds
mp-1228891,,,,0,0,0,16,too_few_total_bonds
mp-1228888,,,,8,8,0,16,too_few_total_bonds
mp-27935,,,,0,0,0,32,too_few_inplane_bonds
mp-1228935,0.75,0.25,a,4,4,16,32,
mp-1228926,0.875,0.125,a,2,2,16,32,
mp-1229077,,,,2,2,0,32,too_few_inplane_bonds
mp-504482,,,,0,0,0,108,too_few_inplane_bonds
mp-862787,,,,0,0,0,108,too_few_inplane_bonds
mp-1550,,,,0,0,0,8,too_few_total_bonds
mp-8880,,,,0,0,0,16,too_few_total_bonds
mp-568423,,,,0,0,0,64,too_few_inplane_bonds
mp-555805,,,,0,0,0,28,too_few_inplane_bonds
mp-1018100,,,,0,0,0,16,too_few_total_bonds
mp-2624,,,,0,0,0,8,too_few_total_bonds
mp-1194909,,,,0,0,0,84,too_few_inplane_bonds
mp-1192837,,,,0,0,0,60,too_few_inplane_bonds
mp-28118,,,,8,0,0,32,too_few_inplane_bonds
mp-29408,,,,0,0,0,28,too_few_inplane_bonds
mp-31220,,,,0,0,0,38,too_few_inplane_bonds
mp-29407,,,,0,0,0,32,too_few_inplane_bonds
mp-985477,,,,0,0,0,64,too_few_inplane_bonds
mp-863762,,,,0,0,0,88,too_few_inplane_bonds
mp-9579,,,,8,0,0,16,too_few_total_bonds
mp-28159,,,,0,0,0,36,too_few_inplane_bonds
mp-27445,,,,0,0,0,32,too_few_inplane_bonds
mp-558244,,,,0,0,0,24,too_few_inplane_bonds
mp-30934,,,,0,0,0,54,too_few_inplane_bonds
mp-1247873,,,,0,0,0,68,too_few_inplane_bonds
mp-15649,1.0,0.0,b,8,0,8,56,
mp-2455,1.0,0.0,b,16,0,0,28,
mp-19941,1.0,0.0,b,88,0,0,120,
mp-1189572,,,,0,0,0,48,too_few_inplane_bonds
mp-641,,,,0,0,0,48,too_few_inplane_bonds
mp-1078443,1.0,0.0,b,24,0,0,36,
mp-909,,,,0,0,0,48,too_few_inplane_bonds
mp-27594,,,,2,2,2,102,too_few_inplane_bonds
mp-27543,,,,0,0,0,48,too_few_inplane_bonds
mp-557321,,,,0,0,0,48,too_few_inplane_bonds
mp-502,,,,0,0,0,40,too_few_inplane_bonds
mp-1194350,,,,0,0,0,56,too_few_inplane_bonds
mp-31070,,,,0,0,0,72,too_few_inplane_bonds
mp-2761091,,,,0,0,0,40,too_few_inplane_bonds
mp-28647,,,,0,0,0,40,too_few_inplane_bonds
mp-30106,,,,0,0,0,20,too_few_inplane_bonds
mp-23218,,,,0,0,0,12,too_few_total_bonds
mp-31020,,,,0,0,0,28,too_few_inplane_bonds
mp-555340,,,,0,0,0,96,too_few_inplane_bonds
mp-1228823,,,,0,0,0,56,too_few_inplane_bonds
mp-1228810,,,,0,0,0,56,too_few_inplane_bonds
mp-30010,,,,0,0,0,64,too_few_inplane_bonds
mp-1214793,1.0,0.0,a,0,8,8,56,
mp-1214784,1.0,0.0,a,0,8,8,56,
mp-1228801,1.0,0.0,b,16,0,0,28,
mp-1228792,,,,0,0,0,56,too_few_inplane_bonds
mp-1214805,,,,0,0,0,76,too_few_inplane_bonds
mp-1228745,,,,0,0,0,56,too_few_inplane_bonds
mp-1228724,,,,0,0,0,56,too_few_inplane_bonds
mp-1214786,1.0,0.0,a,0,8,8,56,
mp-1214794,1.0,0.0,a,0,8,8,56,
mp-542604,,,,0,0,0,64,too_few_inplane_bonds
mp-542810,,,,0,0,0,64,too_few_inplane_bonds
mp-542846,,,,0,0,0,32,too_few_inplane_bonds
mp-556328,,,,0,0,0,64,too_few_inplane_bonds
mp-557628,,,,0,0,0,64,too_few_inplane_bonds
mp-1191613,,,,0,0,0,56,too_few_inplane_bonds
mp-542570,,,,0,0,0,80,too_few_inplane_bonds
mp-559575,,,,0,0,0,72,too_few_inplane_bonds
mp-1229037,,,,0,0,0,63,too_few_inplane_bonds
mp-23575,,,,0,0,0,84,too_few_inplane_bonds
mp-23569,,,,0,0,0,56,too_few_inplane_bonds
mp-505373,,,,8,0,0,24,too_few_inplane_bonds
mp-554379,,,,0,0,0,88,too_few_inplane_bonds
mp-947,,,,0,0,0,16,too_few_total_bonds
mp-505366,,,,0,0,0,16,too_few_total_bonds
mp-570140,,,,0,4,4,16,too_few_total_bonds
mp-27213,,,,0,0,0,64,too_few_inplane_bonds
mp-30159,,,,0,0,0,32,too_few_inplane_bonds
mp-556112,,,,0,0,0,56,too_few_inplane_bonds
mp-1120780,,,,0,0,0,16,too_few_total_bonds
mp-32780,,,,0,4,4,16,too_few_total_bonds
mp-541656,,,,0,0,0,28,too_few_inplane_bonds
mp-27647,,,,0,0,0,32,too_few_inplane_bonds
mp-27725,,,,0,0,0,16,too_few_total_bonds
mp-28192,,,,0,0,0,48,too_few_inplane_bonds
mp-556587,,,,0,0,0,56,too_few_inplane_bonds
mp-27199,,,,0,0,0,64,too_few_inplane_bonds
mp-28372,,,,0,0,0,64,too_few_inplane_bonds
mp-572670,,,,0,0,0,96,too_few_inplane_bonds
mp-1203749,,,,0,0,0,84,too_few_inplane_bonds
mp-28395,,,,0,0,0,80,too_few_inplane_bonds
mp-685043,,,,0,0,0,36,too_few_inplane_bonds
mp-1008559,,,,0,0,0,16,too_few_total_bonds
mp-1479,,,,0,0,0,8,too_few_total_bonds
mp-567433,,,,0,0,0,56,too_few_inplane_bonds
mp-1197482,,,,0,0,0,80,too_few_inplane_bonds
mp-27724,,,,0,0,0,16,too_few_total_bonds
mp-1228703,,,,0,4,0,34,too_few_inplane_bonds
mp-1214789,,,,0,0,0,48,too_few_inplane_bonds
mp-8579,,,,0,0,0,28,too_few_inplane_bonds
mp-18501,1.0,0.0,b,96,0,0,156,
mp-28505,,,,0,0,0,64,too_few_inplane_bonds
mp-38394,0.5,0.5,b,16,8,8,32,
mp-570823,1.0,0.0,c,12,12,0,56,
mp-8279,,,,0,0,0,28,too_few_inplane_bonds
mp-4255,,,,0,0,0,32,too_few_inplane_bonds
mp-5970,1.0,0.0,b,104,0,0,156,
mp-30133,1.0,0.0,b,104,0,0,156,
mp-1193410,1.0,0.0,b,112,0,0,160,
mp-1193797,1.0,0.0,b,112,0,0,160,
mp-17927,1.0,0.0,b,112,0,0,160,
mp-1192439,1.0,0.0,b,112,0,0,160,
mp-1192805,1.0,0.0,b,112,0,0,160,
mp-17928,1.0,0.0,b,112,0,0,160,
mp-1183302,,,,0,0,0,96,too_few_inplane_bonds
mp-1105728,,,,0,0,0,96,too_few_inplane_bonds
mp-7841,1.0,0.0,c,16,16,0,64,
mp-38117,0.5,0.5,b,16,8,8,32,
mp-1192904,1.0,0.0,b,112,0,0,160,
mp-1194410,1.0,0.0,b,112,0,0,160,
mp-1182773,1.0,0.0,b,112,0,0,160,
mp-27809,,,,0,0,0,104,too_few_inplane_bonds
mp-1193583,1.0,0.0,b,112,0,0,160,
mp-17273,1.0,0.0,b,112,0,0,160,
mp-21943,,,,0,0,0,256,too_few_inplane_bonds
mp-21766,,,,0,0,0,256,too_few_inplane_bonds
mp-21183,1.0,0.0,c,16,16,0,64,
mp-33985,0.5,0.5,c,16,16,8,32,
mp-33615,0.5,0.5,a,8,8,16,96,
mp-37741,0.5,0.5,a,8,8,16,96,
mp-984052,1.0,0.0,b,112,0,0,160,
mp-1192674,1.0,0.0,b,112,0,0,160,
mp-1192634,1.0,0.0,b,112,0,0,160,
mp-8280,,,,0,0,0,28,too_few_inplane_bonds
mp-8278,,,,0,0,0,28,too_few_inplane_bonds
mp-9567,,,,0,0,0,28,too_few_inplane_bonds
mp-866306,1.0,0.0,b,112,0,0,160,
mp-36007,0.5,0.5,a,8,8,16,96,
mp-28967,1.0,0.0,c,8,8,0,72,
mp-36223,0.5,0.5,a,8,8,16,96,
mp-33606,0.5,0.5,a,8,8,16,96,
mp-28129,,,,0,0,0,264,too_few_inplane_bonds
mp-4727,1.0,0.0,a,0,64,0,268,
mp-17501,1.0,0.0,b,112,0,0,160,
mp-1194376,1.0,0.0,b,112,0,0,160,
mp-1193757,1.0,0.0,b,112,0,0,160,
mp-17786,1.0,0.0,b,112,0,0,160,
mp-1193223,1.0,0.0,b,112,0,0,160,
mp-17153,1.0,0.0,b,112,0,0,160,
mp-1193579,1.0,0.0,b,112,0,0,160,
mp-1193169,1.0,0.0,b,112,0,0,160,
mp-18196,1.0,0.0,b,112,0,0,160,
mp-29036,1.0,0.0,b,112,0,0,160,
mp-1193099,1.0,0.0,b,112,0,0,160,
mp-17872,1.0,0.0,b,112,0,0,160,
mp-676580,1.0,0.0,b,32,0,0,295,
mp-676889,1.0,0.0,b,32,0,0,256,
mp-1197065,,,,0,0,0,308,too_few_inplane_bonds
